index,title,price,category,color,review rating,review number,model,Screen Size,Touch Screen,Storage Type,Total Storage Capacity,Hard Drive Capacity,System Memory (RAM),Processor Speed (Base),Processor Model,Operating System,Battery Life,Brand,Product Height,Product Width,Product Depth,Product Weight
0,"Lenovo - 100e 11.6"" Chromebook - MediaTek MT8173C - 4GB Memory - 32GB eMMC Flash Memory - Black",149.00,laptop,Black,4.5,559,81QB0000US,11.6 inches,No,eMMC,32 gigabytes,,4 gigabytes,2.1 gigahertz,MediaTek,Chrome OS,,Lenovo,0.8 inches,11.4 inches,8.01 inches,2.68 pounds
1,"Dell - Inspiron 15.6"" Touch-Screen Laptop - AMD Ryzen 3 - 8GB Memory - 128GB SSD - Black",369.99,laptop,Black,4.3,43,I3585-A831BLK-PUS,15.6 inches,Yes,SSD,128 gigabytes,,8 gigabytes,2.5 gigahertz,AMD 2nd Generation Ryzen 3,Windows 10 Home in S mode,,Dell,0.8 inches,15 inches,10.2 inches,4.41 pounds
2,"Lenovo - 100e 11.6"" Chromebook - MediaTek MT8173C - 4GB Memory - 32GB eMMC Flash Memory - Black",149.00,laptop,Black,4.5,559,81QB0000US,11.6 inches,No,eMMC,32 gigabytes,,4 gigabytes,2.1 gigahertz,MediaTek,Chrome OS,,Lenovo,0.8 inches,11.4 inches,8.01 inches,2.68 pounds
3,"Apple - MacBook Air 13.3"" Laptop with Touch ID - Intel Core i5 - 8GB Memory - 128GB Solid State Drive (Latest Model) - Space Gray",899.99,laptop,Space Gray,4.8,"3,093",MVFH2LL/A,13.3 inches,No,SSD,128 gigabytes,,8 gigabytes,1.6 gigahertz,Intel 8th Generation Core i5,Mac OS,12 hours,Apple,0.61 inches,12 inches,8.36 inches,2.75 pounds
4,"Apple - MacBook Air 13.3"" Laptop with Touch ID - Intel Core i5 - 8GB Memory - 128GB Solid State Drive (Latest Model) - Silver",899.99,laptop,Silver,4.8,"3,093",MVFK2LL/A,13.3 inches,No,SSD,128 gigabytes,,8 gigabytes,1.6 gigahertz,Intel 8th Generation Core i5,Mac OS,12 hours,Apple,0.61 inches,12 inches,8.36 inches,2.75 pounds
5,"Apple - MacBook Air 13.3"" Laptop with Touch ID - Intel Core i5 - 8GB Memory - 128GB Solid State Drive (Latest Model) - Gold",899.99,laptop,Gold,4.8,"3,093",MVFM2LL/A,13.3 inches,No,SSD,128 gigabytes,,8 gigabytes,1.6 gigahertz,Intel 8th Generation Core i5,Mac OS,12 hours,Apple,0.61 inches,12 inches,8.36 inches,2.75 pounds
6,"Lenovo - S145-15AST 15.6"" Laptop - AMD A6-Series - 4GB Memory - 1TB Hard Drive - Black",229.99,laptop,Black,4.2,304,81N3009BUS,15.6 inches,No,HDD,1000 gigabytes,1000 gigabytes,4 gigabytes,2.6 gigahertz,AMD A6,Windows 10 Home in S mode,5.5 hours,Lenovo,0.8 inches,14.3 inches,9.9 inches,4.08 pounds
7,"Acer - Spin 11 2-in-1 11.6"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Obsidian Black",179.00,laptop,Obsidian Black,4.6,169,NX.GPZAA.001,11.6 inches,Yes,eMMC,32 gigabytes,,4 gigabytes,1.1 gigahertz,Intel Celeron,Chrome OS,10 hours,Acer,0.8 inches,11.7 inches,8.1 inches,3.09 pounds
8,"Acer - Spin 11 2-in-1 11.6"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Sparkly Silver",279.99,laptop,Sparkly Silver,4.4,485,CP311-1HN-C2DV,11.6 inches,Yes,eMMC,32 gigabytes,,4 gigabytes,1.1 gigahertz,Intel Celeron,Chrome OS,10 hours,Acer,0.8 inches,11.7 inches,8.1 inches,2.76 pounds
9,"HP - 15.6"" Touch-Screen Laptop - Intel Core i5 - 12GB Memory - 256GB SSD + 16GB Optane - Natural Silver, Ash Silver Keyboard",579.99,laptop,"Natural Silver, Ash Silver Keyboard",4.6,424,15-DY1023DX,15.6 inches,Yes,SSD,256 gigabytes,,12 gigabytes,1 gigahertz,Intel 10th Generation Core i5,Windows 10 Home in S mode,,HP,0.7 inches,14.1 inches,9.5 inches,3.86 pounds
10,"HP - 17.3"" Laptop - AMD Ryzen 7 - 16GB Memory - AMD Radeon RX Vega 10 - 1TB HDD - Jet Black",529.99,laptop,Jet Black,4.4,46,17-CA1031DX,17.3 inches,No,HDD,1000 gigabytes,1000 gigabytes,16 gigabytes,2.3 gigahertz,AMD 2nd Generation Ryzen 7,Windows 10 Home,7.45 hours,HP,1 inches,16.3 inches,10.7 inches,5.4 pounds
11,"Apple - MacBook Air 13.3"" Laptop with Touch ID - Intel Core i5 - 8GB Memory - 256GB Solid State Drive (Latest Model) - Space Gray","1,099.99",laptop,Space Gray,4.8,988,MVFJ2LL/A,13.3 inches,No,SSD,256 gigabytes,,8 gigabytes,1.6 gigahertz,Intel 8th Generation Core i5,Mac OS,12 hours,Apple,0.61 inches,12 inches,8.36 inches,2.75 pounds
12,"Apple - MacBook Air 13.3"" Laptop with Touch ID - Intel Core i5 - 8GB Memory - 256GB Solid State Drive (Latest Model) - Silver","1,099.99",laptop,Silver,4.8,988,MVFL2LL/A,13.3 inches,No,SSD,256 gigabytes,,8 gigabytes,1.6 gigahertz,Intel 8th Generation Core i5,Mac OS,12 hours,Apple,0.61 inches,12 inches,8.36 inches,2.75 pounds
13,"Apple - MacBook Air 13.3"" Laptop with Touch ID - Intel Core i5 - 8GB Memory - 256GB Solid State Drive (Latest Model) - Gold","1,099.99",laptop,Gold,4.8,988,MVFN2LL/A,13.3 inches,No,SSD,256 gigabytes,,8 gigabytes,1.6 gigahertz,Intel 8th Generation Core i5,Mac OS,12 hours,Apple,0.61 inches,12 inches,8.36 inches,2.75 pounds
14,"HP - 14"" Chromebook - AMD A4-Series - 4GB Memory - AMD Radeon R4 - 32GB eMMC Flash Memory - Chalkboard Gray",199.00,laptop,Chalkboard Gray,4.5,870,14-DB0023DX,14 inches,No,eMMC,32 gigabytes,,4 gigabytes,1.6 gigahertz,AMD A4,Chrome OS,,HP,0.7 inches,13.3 inches,8.9 inches,3.4 pounds
15,"Lenovo - IdeaPad 1 14"" Laptop - AMD A6-Series - 4GB Memory - AMD Radeon R4 - 64GB eMMC Flash Memory - Platinum Gray",179.99,laptop,Platinum Gray,4.1,482,81VS0001US,14 inches,No,eMMC,64 gigabytes,,4 gigabytes,1.6 gigahertz,AMD A6,Windows 10 Home in S mode,8 hours,Lenovo,0.8 inches,12.9 inches,9.3 inches,3.09 pounds
16,"Apple - MacBook Air®  - 13.3"" Display - Intel Core i5 - 8GB Memory - 128GB Flash Storage - Silver",999.99,laptop,Silver,4.8,"10,424",MQD32LL/A,13.3 inches,No,SSD,128 gigabytes,,8 gigabytes,1.8 gigahertz,Intel 5th Generation Core i5,Mac OS,12 hours,Apple,0.11 inches,12.8 inches,8.94 inches,2.96 pounds
17,"Dell - Inspiron 13.3"" 7000 2-in-1 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB SSD + 32GB Optane - Black",999.99,laptop,Black,3.7,54,I7391-7520BLK-PUS,13 inches,Yes,SSD,512 gigabytes,,16 gigabytes,1.8 gigahertz,Intel 10th Generation Core i7,Windows 10 Home,,Dell,0.6 inches,12.1 inches,8.5 inches,3.2 pounds
18,"Lenovo - Yoga C740 2-in-1 14"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Mica",749.99,laptop,Mica,4.6,134,81TC000JUS,14 inches,Yes,SSD,256 gigabytes,,8 gigabytes,1.6 gigahertz,Intel 10th Generation Core i5,Windows 10 Home,13 hours,Lenovo,0.7 inches,12.7 inches,8.4 inches,3.09 pounds
19,"HP - 17.3"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Jet Black",599.99,laptop,Jet Black,4.6,919,17-BY1053DX,17.3 inches,No,SSD,256 gigabytes,,8 gigabytes,1.6 gigahertz,Intel 8th Generation Core i5,Windows 10 Home in S mode,,HP,0.96 inches,16.33 inches,10.72 inches,5.25 pounds
20,"Microsoft - Surface Laptop 3 - 13.5"" Touch-Screen - Intel Core i5 - 8GB Memory - 256GB Solid State Drive (Latest Model) - Cobalt Blue",999.99,laptop,Cobalt Blue,4.7,234,V4C-00043,13.5 inches,Yes,SSD,256 gigabytes,,8 gigabytes,,Intel 10th Generation Core i5,Windows 10 Home,,Microsoft,0.57 inches,12.1 inches,8.79 inches,2.76 pounds
21,"Microsoft - Surface Laptop 3 - 13.5"" Touch-Screen - Intel Core i5 - 8GB Memory - 256GB Solid State Drive (Latest Model) - Platinum",999.99,laptop,Platinum,4.7,234,V4C-00001,13.5 inches,Yes,SSD,256 gigabytes,,8 gigabytes,,Intel 10th Generation Core i5,Windows 10 Home,,Microsoft,0.57 inches,12.1 inches,8.79 inches,2.76 pounds
22,"Microsoft - Surface Laptop 3 - 13.5"" Touch-Screen - Intel Core i5 - 8GB Memory - 256GB Solid State Drive (Latest Model) - Sandstone",999.99,laptop,Sandstone,4.7,234,V4C-00064,13.5 inches,Yes,SSD,256 gigabytes,,8 gigabytes,,Intel 10th Generation Core i5,Windows 10 Home,,Microsoft,0.57 inches,12.1 inches,8.79 inches,2.89 pounds
23,"Microsoft - Surface Laptop 3 - 13.5"" Touch-Screen - Intel Core i5 - 8GB Memory - 256GB Solid State Drive (Latest Model) - Matte Black",999.99,laptop,Matte Black,4.7,234,V4C-00022,13.5 inches,Yes,SSD,256 gigabytes,,8 gigabytes,,Intel 10th Generation Core i5,Windows 10 Home,,Microsoft,0.57 inches,12.1 inches,8.79 inches,2.89 pounds
24,"Dell - Inspiron 15.6"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black",539.99,laptop,Black,4.5,"1,137",BBY-W1J46FX,15.6 inches,Yes,SSD,256 gigabytes,,8 gigabytes,1.6 gigahertz,Intel 8th Generation Core i5,Windows 10 Home in S mode,,Dell,0.78 inches,15 inches,10.2 inches,4.41 pounds
25,"Apple - MacBook Pro - 16"" Display with Touch Bar - Intel Core i9 - 16GB Memory - AMD Radeon Pro 5500M - 1TB SSD (Latest Model) - Space Gray","2,799.99",laptop,Space Gray,4.8,254,MVVK2LL/A,16 inches,No,SSD,1000 gigabytes,,16 gigabytes,2.3 gigahertz,Intel 9th Generation Core i9,macOS Catalina,11 hours,Apple,0.64 inches,14.1 inches,9.68 inches,4.3 pounds
26,"Apple - MacBook Pro - 16"" Display with Touch Bar - Intel Core i9 - 16GB Memory - AMD Radeon Pro 5500M - 1TB SSD (Latest Model) - Silver","2,799.99",laptop,Silver,4.8,254,MVVM2LL/A,16 inches,No,SSD,1000 gigabytes,,16 gigabytes,2.3 gigahertz,Intel 9th Generation Core i9,macOS Catalina,11 hours,Apple,0.64 inches,14.1 inches,9.68 inches,4.3 pounds
27,"HP - Pavilion x360 2-in-1 14"" Touch-Screen Laptop - Intel Core i3 - 8GB Memory - 128GB Solid State Drive - Silver",549.99,laptop,Silver,4.6,962,14M-DH1001DX,14 inches,Yes,SSD,128 gigabytes,,8 gigabytes,2.1 gigahertz,Intel 10th Generation Core i3,Windows 10 Home in S mode,,HP,0.81 inches,12.8 inches,8.78 inches,3.5 pounds
28,"HP - ENVY x360 2-in-1 15.6"" Touch-Screen Laptop - Intel Core i7 - 12GB Memory - 512GB SSD + 32GB Optane - Natural Silver, Sandblasted Anodized Finish","1,049.99",laptop,"Natural Silver, Sandblasted Anodized Finish",4.7,552,15M-DR1012DX,15.6 inches,Yes,SSD,512 gigabytes,,12 gigabytes,1.8 gigahertz,Intel 10th Generation Core i7,Windows 10 Home,,HP,0.7 inches,14.1 inches,9.7 inches,4.52 pounds
29,"Dell - Inspiron 17.3"" 7000 2-in-1 Touch-Screen Laptop - Intel Core i7 - 16GB Memory - GeForce MX250 - 512GB SSD + 32GB Optane - Silver","1,299.99",laptop,Silver,4.5,168,I7791-7452SLV-PUS,17.3 inches,Yes,SSD,512 gigabytes,,16 gigabytes,1.8 gigahertz,Intel 10th Generation Core i7,Windows 10 Home,,Dell,0.8 inches,15.7 inches,10.7 inches,6.13 pounds
30,"Dell - Inspiron 2-in-1 14"" Touch-Screen Chromebook - Intel Core i3 - 4GB Memory - 128GB eMMC Flash Memory - Urban Gray",349.00,laptop,Urban Gray,4.6,362,C7486-3250GRY-PUS,14 inches,Yes,eMMC,128 gigabytes,,4 gigabytes,2.2 gigahertz,Intel 8th Generation Core i3,Chrome OS,,Dell,0.66 inches,13 inches,9.06 inches,
31,"Acer - Nitro 5 15.6"" Gaming Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 256GB Solid State Drive - Black",599.99,laptop,Black,4.6,303,AN515-54-54W2,15.6 inches,No,SSD,256 gigabytes,,8 gigabytes,2.4 gigahertz,Intel 9th Generation Core i5,Windows 10 Home,7 hours,Acer,1.1 inches,14.3 inches,10 inches,4.85 pounds
32,"HP - 14"" Laptop - AMD A9-Series - 4GB Memory - AMD Radeon R5 Graphics - 128GB Solid State Drive - Ash Silver",299.99,laptop,Ash Silver,4.5,962,14-DK0002DX,14 inches,No,SSD,128 gigabytes,,4 gigabytes,3.1 gigahertz,AMD A9,Windows 10 Home in S mode,10.5 hours,HP,0.78 inches,12.76 inches,8.9 inches,3.24 pounds
33,"Dell - Inspiron 15.6"" 7000 2-in-1 Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 512GB SSD + 32GB Optane - Silver",949.99,laptop,Silver,4.6,256,I7591-5476SLV-PUS,15.6 inches,Yes,SSD,512 gigabytes,,8 gigabytes,1.6 gigahertz,Intel 10th Generation Core i5,Windows 10 Home,,Dell,0.7 inches,14.1 inches,9.8 inches,4.83 pounds
0,"Samsung - 15.6"" Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Platinum Titan",299.00,laptop,Platinum Titan,4.4,96,XE350XBA-K01US,15.6 inches,No,eMMC,32 gigabytes,,4 gigabytes,1.1 gigahertz,Intel Celeron,Chrome OS,,Samsung,0.6 inches,14.2 inches,9.6 inches,3.75 pounds
1,"Apple - MacBook Pro - 16"" Display with Touch Bar - Intel Core i7 - 16GB Memory - AMD Radeon Pro 5300M - 512GB SSD (Latest Model) - Space Gray","2,399.99",laptop,Space Gray,4.8,248,MVVJ2LL/A,16 inches,No,SSD,512 gigabytes,,16 gigabytes,2.6 gigahertz,Intel 9th Generation Core i7,macOS Catalina,11 hours,Apple,0.64 inches,14.1 inches,9.68 inches,4.3 pounds
2,"Apple - MacBook Pro - 16"" Display with Touch Bar - Intel Core i7 - 16GB Memory - AMD Radeon Pro 5300M - 512GB SSD (Latest Model) - Silver","2,399.99",laptop,Silver,4.8,248,MVVL2LL/A,16 inches,No,SSD,512 gigabytes,,16 gigabytes,2.6 gigahertz,Intel 9th Generation Core i7,macOS Catalina,11 hours,Apple,0.64 inches,14.1 inches,9.68 inches,4.3 pounds
3,"Microsoft - Surface Laptop 3 - 13.5"" Touch-Screen - Intel Core i5 - 8GB Memory - 128GB Solid State Drive (Latest Model) - Platinum",799.99,laptop,Platinum,4.6,88,VGY-00001,13.5 inches,Yes,SSD,128 gigabytes,,8 gigabytes,,Intel 10th Generation Core i5,Windows 10 Home,,Microsoft,0.57 inches,12.1 inches,8.79 inches,2.76 pounds
4,"HP - Spectre x360 2-in-1 13.3"" Laptop - Intel Core i7 - 8GB Memory - 512GB SSD + 32GB Optane - Natural Silver",999.99,laptop,Natural Silver,4.5,125,13-AW0013DX,13.3 inches,No,SSD,512 gigabytes,,8 gigabytes,1.3 gigahertz,Intel 10th Generation Core i7,Windows 10 Home,,HP,0.7 inches,12 inches,7.7 inches,2.87 pounds
5,"ASUS - 2-in-1 14"" Touch-Screen Chromebook - Intel Core m3 - 4GB Memory - 64GB eMMC Flash Memory - Blue Silver",379.00,laptop,Blue Silver,4.6,58,C433TA-BM3T8,14 inches,Yes,eMMC,64 gigabytes,,4 gigabytes,1.1 gigahertz,Intel Core m3,Chrome OS,10 hours,ASUS,0.6 inches,12.7 inches,8.1 inches,3.31 pounds
6,"Lenovo - Yoga C740 2-in-1 15.6"" Touch-Screen Laptop - Intel Core i7 - 12GB Memory - 512GB Solid State Drive - Mica","1,099.99",laptop,Mica,4.7,88,81TD0005US,15.6 inches,Yes,SSD,512 gigabytes,,12 gigabytes,1.8 gigahertz,Intel 10th Generation Core i7,Windows 10 Home,15 hours,Lenovo,0.7 inches,14.1 inches,9.3 inches,4.19 pounds
7,"Lenovo - S345-14AST 14"" Touch-Screen Chromebook - AMD A6-Series - 4GB Memory - AMD Radeon R5 - 32GB eMMC Flash Memory - Platinum Gray",249.00,laptop,Platinum Gray,4.2,19,81WX0000UX,14 inches,Yes,eMMC,32 gigabytes,,4 gigabytes,1.8 gigahertz,AMD A6,Chrome OS,10 hours,Lenovo,0.7 inches,12.9 inches,8.9 inches,3.26 pounds
8,"Apple - MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 8GB Memory - 128GB SSD (Latest Model) - Space Gray","1,299.99",laptop,Space Gray,4.8,"1,491",MUHN2LL/A,13.3 inches,No,SSD,128 gigabytes,,8 gigabytes,1.4 gigahertz,Intel 8th Generation Core i5,Mac OS,10 hours,Apple,0.59 inches,12 inches,8.36 inches,3.02 pounds
9,"Apple - MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 8GB Memory - 128GB SSD (Latest Model) - Silver","1,299.99",laptop,Silver,4.8,"1,491",MUHQ2LL/A,13.3 inches,No,SSD,128 gigabytes,,8 gigabytes,1.4 gigahertz,Intel 8th Generation Core i5,Mac OS,10 hours,Apple,0.59 inches,12 inches,8.36 inches,3.02 pounds
10,"ASUS - ImagineBook MJ401TA 14"" Laptop - Intel Core m3 - 4GB Memory - 128GB Solid State Drive - Textured White",299.99,laptop,Textured White,4.5,56,MJ401TA-BM3N5,14 inches,No,SSD,128 gigabytes,,4 gigabytes,1.1 gigahertz,Intel Core m3,Windows 10 Home in S mode,,ASUS,0.7 inches,13.2 inches,8.9 inches,3.55 pounds
11,"ASUS - VivoBook 15 15.6"" Laptop - Intel Core i7 - 12GB Memory - 512GB SSD - Transparent Silver",619.99,laptop,Transparent Silver,,,X512FA-BI7B,15.6 inches,No,SSD,512 gigabytes,,12 gigabytes,1.8 gigahertz,Intel 8th Generation Core i7,Windows 10 Home,9 hours,ASUS,0.78 inches,14.1 inches,9.1 inches,3.75 pounds
12,"HP - Stream 14"" Laptop - AMD A4-Series - 4GB Memory - AMD Radeon R3 - 64GB eMMC Flash Memory - Frosted Blue",229.99,laptop,Frosted Blue,4.2,344,14-DS0003DX,14 inches,No,eMMC,64 gigabytes,,4 gigabytes,1.5 gigahertz,AMD A4,Windows 10 Home in S mode,,HP,0.7 inches,13.3 inches,8.9 inches,3.2 pounds
13,"Dell - G3 15.6"" Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1660Ti - 512GB SSD","1,199.99",laptop,512GB SSD,4.4,221,I3590-7957BLK-PUS,15.6 inches,No,SSD,512 gigabytes,,16 gigabytes,2.6 gigahertz,Intel 9th Generation Core i7,Windows 10 Home,,Dell,0.85 inches,14.4 inches,10 inches,
14,"ASUS - 15.6"" Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 1TB Hard Drive + 128GB Solid State Drive - Light Gray",899.99,laptop,Light Gray,4.6,210,Q526FA-BI7T10,15.6 inches,Yes,"SSD, HDD",1128 gigabytes,1000 gigabytes,16 gigabytes,1.8 gigahertz,Intel 8th Generation Core i7,Windows 10 Home,,ASUS,0.8 inches,14.1 inches,8.9 inches,4.19 pounds
15,"Apple - MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 8GB Memory - 256GB SSD (Latest Model) - Space Gray","1,499.99",laptop,Space Gray,4.8,985,MUHP2LL/A,13.3 inches,No,SSD,256 gigabytes,,8 gigabytes,1.4 gigahertz,Intel 8th Generation Core i5,Mac OS,10 hours,Apple,0.59 inches,12 inches,8.36 inches,3.02 pounds
16,"Apple - MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 8GB Memory - 256GB SSD (Latest Model) - Silver","1,499.99",laptop,Silver,4.8,985,MUHR2LL/A,13.3 inches,No,SSD,256 gigabytes,,8 gigabytes,1.4 gigahertz,Intel 8th Generation Core i5,Mac OS,10 hours,Apple,0.59 inches,12 inches,8.36 inches,3.02 pounds
17,"HP - Pavilion x360 2-in-1 14"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB SSD + 16GB Optane - Luminous Gold",749.99,laptop,Luminous Gold,4.6,724,14M-DH1003DX,14 inches,Yes,SSD,256 gigabytes,,8 gigabytes,1.6 gigahertz,Intel 10th Generation Core i5,Windows 10 Home,,HP,0.8 inches,12.8 inches,8.8 inches,3.48 pounds
18,"Dell - Inspiron 15.6"" 7000 2-in-1 4K UHD Touch-Screen Laptop - Intel Core i7 - 16GB - GeForce MX250 - 512GB SSD + 32GB Optane - Black","1,349.99",laptop,Black,4.3,112,I7591-7483BLK-PUS,15.6 inches,Yes,SSD,512 gigabytes,,16 gigabytes,1.8 gigahertz,Intel 10th Generation Core i7,Windows 10 Home,,Dell,0.7 inches,14.1 inches,9.8 inches,4.83 pounds
19,Samsung - Notebook 9 Pro - 15” Touch-Screen Laptop – Intel Core i7 – 16GB Memory – AMD Radeon 540 – 256GB Solid State Drive - Titan silver,949.99,laptop,Titan silver,4.6,373,NP-940X5N-X01US,15 inches,Yes,SSD,256 gigabytes,,16 gigabytes,1.8 gigahertz,Intel 8th Generation Core i7,Windows 10 Home,,Samsung,0.7 inches,13.7 inches,9.4 inches,3.79 pounds
20,"Microsoft - Surface Laptop 3 - 13.5"" Touch-Screen - Intel Core i7 - 16GB Memory - 256GB Solid State Drive (Latest Model) - Matte Black","1,299.99",laptop,Matte Black,4.8,35,VEF-00022,13.5 inches,Yes,SSD,256 gigabytes,,16 gigabytes,,Intel 10th Generation Core i7,Windows 10 Home,,Microsoft,0.57 inches,12.1 inches,8.79 inches,2.89 pounds
21,"Microsoft - Surface Laptop 3 - 13.5"" Touch-Screen - Intel Core i7 - 16GB Memory - 256GB Solid State Drive (Latest Model) - Cobalt Blue","1,299.99",laptop,Cobalt Blue,4.8,35,VEF-00043,13.5 inches,Yes,SSD,256 gigabytes,,16 gigabytes,,Intel 10th Generation Core i7,Windows 10 Home,,Microsoft,0.57 inches,12.1 inches,8.79 inches,2.76 pounds
22,"Microsoft - Surface Laptop 3 - 13.5"" Touch-Screen - Intel Core i7 - 16GB Memory - 256GB Solid State Drive (Latest Model) - Platinum","1,299.99",laptop,Platinum,4.8,35,VEF-00001,13.5 inches,Yes,SSD,256 gigabytes,,16 gigabytes,,Intel 10th Generation Core i7,Windows 10 Home,,Microsoft,0.57 inches,12.1 inches,8.79 inches,2.76 pounds
23,"Microsoft - Surface Laptop 3 - 13.5"" Touch-Screen - Intel Core i7 - 16GB Memory - 256GB Solid State Drive (Latest Model) - Sandstone","1,299.99",laptop,Sandstone,4.8,35,VEF-00064,13.5 inches,Yes,SSD,256 gigabytes,,16 gigabytes,,Intel 10th Generation Core i7,Windows 10 Home,,Microsoft,0.57 inches,12.1 inches,8.79 inches,2.89 pounds
24,"Microsoft - Surface Book 2 - 13.5"" Touch-Screen PixelSense™ - 2-in-1 Laptop - Intel Core i5 - 8GB Memory - 256GB SSD - Platinum","1,299.00",laptop,Platinum,4.8,383,PGU-00001,13.5 inches,Yes,SSD,256 gigabytes,,8 gigabytes,,Intel 8th Generation Core i5,Windows 10 Pro,17 hours,Microsoft,0.9 inches,12.3 inches,9.1 inches,3.38 pounds
25,"Apple - MacBook Pro 15.4"" Display with Touch Bar - Intel Core i9 - 16GB Memory - AMD Radeon Pro 560X - 512GB SSD - Silver","2,399.99",laptop,Silver,4.8,542,MV932LL/A,15.4 inches,No,SSD,512 gigabytes,,16 gigabytes,2.3 gigahertz,Intel 9th Generation Core i9,Mac OS,,Apple,0.61 inches,13.8 inches,9.48 inches,4.02 pounds
26,"Apple - MacBook Pro 15.4"" Display with Touch Bar - Intel Core i9 - 16GB Memory - AMD Radeon Pro 560X - 512GB SSD - Space Gray","2,399.99",laptop,Space Gray,4.8,542,MV912LL/A,15.4 inches,No,SSD,512 gigabytes,,16 gigabytes,2.3 gigahertz,Intel 9th Generation Core i9,Mac OS,,Apple,0.61 inches,13.8 inches,9.48 inches,4.02 pounds
27,"Apple - MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 8GB Memory - 256GB SSD - Silver","1,799.99",laptop,Silver,4.8,615,MV992LL/A,13.3 inches,No,SSD,256 gigabytes,,8 gigabytes,2.4 gigahertz,Intel 8th Generation Core i5,Mac OS,,Apple,0.59 inches,11.97 inches,8.36 inches,3.02 pounds
28,"Apple - MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 8GB Memory - 256GB SSD - Space Gray","1,799.99",laptop,Space Gray,4.8,615,MV962LL/A,13.3 inches,No,SSD,256 gigabytes,,8 gigabytes,2.4 gigahertz,Intel 8th Generation Core i5,Mac OS,,Apple,0.59 inches,11.97 inches,8.36 inches,3.02 pounds
29,"Lenovo - Yoga C940 2-in-1 14"" Touch-Screen Laptop - Intel Core i7 - 12GB Memory - 512GB Solid State Drive - Iron Gray","1,299.99",laptop,Iron Gray,4.5,97,81Q9002GUS,14 inches,Yes,SSD,512 gigabytes,,12 gigabytes,1.3 gigahertz,Intel 10th Generation Core i7,Windows 10 Home,17.8 hours,Lenovo,0.6 inches,12.6 inches,8.5 inches,2.98 pounds
30,"Samsung - Notebook 9 Pro 2-in-1 13.3"" Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Platinum Titan",999.99,laptop,Platinum Titan,4.5,32,NP930MBE-K04US,13.3 inches,Yes,SSD,512 gigabytes,,16 gigabytes,1.8 gigahertz,Intel 8th Generation Core i7,Windows 10 Home,,Samsung,0.5 inches,12.1 inches,8.1 inches,2.84 pounds
31,"HP - ENVY x360 2-in-1 15.6"" Touch-Screen - AMD Ryzen 7 - 8GB Memory - AMD Radeon RX Vega 10 - 512GB Solid State Drive - Sandblasted Anodized Finish, Nightfall Black",899.99,laptop,"Sandblasted Anodized Finish, Nightfall Black",4.4,77,15M-DS0023DX,15.6 inches,Yes,SSD,512 gigabytes,,8 gigabytes,2.3 gigahertz,AMD 2nd Generation Ryzen 7,Windows 10 Home,,HP,0.7 inches,14.1 inches,9.7 inches,4.52 pounds
32,"Microsoft - Surface Go - 10"" Touch-Screen - Intel Pentium Gold - 8GB Memory - 128GB Storage - Silver",399.00,laptop,Silver,4.5,715,MCZ-00001,10 inches,,,128 gigabytes,,8 gigabytes,,Intel Pentium Gold 4415Y,Windows 10 Home in S mode,9 hours,Microsoft,0.33 inches,9.65 inches,6.9 inches,18.4 ounces
0,"HP - 14"" Touch-Screen Chromebook - AMD A4-Series - 4GB Memory - AMD Radeon R4 - 32GB eMMC Flash Memory - Snow White",229.99,laptop,Snow White,4.4,31,NAE-HP-CB14-DB0070NR,14 inches,Yes,eMMC,32 gigabytes,,4 gigabytes,1.6 gigahertz,AMD A4,Chrome OS,9.25 hours,HP,0.7 inches,13.3 inches,8.9 inches,3.4 pounds
1,"HP - Spectre x360 2-in-1 15.6"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 1TB SSD + 32GB Optane - Ash Silver","1,699.99",laptop,Ash Silver,4.7,69,15-DF1043DX,15.6 inches,Yes,SSD,1000 gigabytes,,16 gigabytes,1.8 gigahertz,Intel 10th Generation Core i7,Windows 10 Home,,HP,0.8 inches,14.2 inches,9.8 inches,4.61 pounds
