,title,brand,model,price,rating,review_num,operating_system,battery_life,screen_size,dimensions,Hard_Drive_Capacity,Processor Type,Processor Speed,RAM Memory
36,"EVOO 11.6"" Convertible Touchscreen Laptop, FHD, Dual Core, 4GB Memory, 32GB Storage, Mini HDMI, Front Camera, Windows 10 Home, Silver",EVOO,TEV-L2IN1-116-2-SL,129.00,3.2,113,Windows 10,,"11.6""",,32 GB,Dual Core,,4 GB
37,"Ematic 11.6"" 2-in-1 Touchscreen Laptop with Windows 10 and Intel Celeron, 4GB RAM, 64 GB Storage, Black (EWT118CB)",Ematic,EWT118CB,109.00,3.6,30,Windows 10,6 h,"11.6""",,64 GB,Intel Core Duo,2.4 GHz,4 GB
38,"Ematic 11.6"" Laptop, Touchscreen, 2-in-1, Windows 10, Intel Atom Quad-Core Processor, 2GB RAM, 32GB Flash Storage (EWT117)",Ematic,EWT117BU,149.00,3,208,Windows 10,6.00 h,"11.6""",,32 GB,Intel Atom x5-Z8350,1.3 GHz,2 GB
39,"Lenovo Flex 14 14.0"" Convertible Laptop, Windows 10, Intel Pentium Gold 5405U Dual-Core Processor, 4GB Memory, 128GB Storage, Onyx Black - 81SQ000SUS",Lenovo,81SQ000SUS,399.00,4.6,1347,Windows 10,8 h,14 in,,128 GB,Intel Pentium Gold 5405U,2.3 GHz,4 GB
40,"Asus Chromebook C423NA, 14"" HD Nano-Edge Display, Intel Celeron N3350, 4GB DDR4, 64GB eMMC, Chrome OS",ASUS,C423NA-WB04,179.00,4.2,71,Chrome OS,,"14""",,64 GB,Intel Dual Core Celeron N3350,1.1 GHz,4 GB
41,"Acer Chromebook 715, 8th Gen Intel Core i3-8130U, 15.6"" Full-HD Touchscreen, 4GB DDR4, 128GB eMMC - CB715-1WT-39HZ",Acer,CB715-1WT-39HZ,329.00,4.1,39,Chrome OS,12 h,"15.6""",,128 GB,Intel Core i3,3.4 GHz,4 GB
42,"Acer CB3-532-C47C 15.6"" Chromebook, Intel Celeron N3060 Dual-Core Processor, 2GB RAM, 16GB Internal Storage, Chrome OS",Acer,CB3-532-C47C,169.00,3.9,618,Chrome OS,12.00 h,"15.60""",15.08 x 10.08 x 0.95 Inches,16 GB,Intel Celeron,1.6 GHz,2 GB
43,"ASUS Chromebook C425 Clamshell Laptop, 14"" FHD 4-Way NanoEdge, Intel Core m3-8100Y Processor, 4GB RAM, 128GB eMMC Storage, Backlit KB, Silver, Chrome OS, C425TA-WH348",ASUS,C425TA-WH348,299.00,4.4,15,Chrome OS,12 h,14.00 in,,128 GB,Intel Core m3,,4 GB
44,"SAMSUNG 11.6"" Chromebook 3, Intel Celeron N3060, 4GB RAM, 16GB eMMC, Metallic Black - XE500C13-K04US",Samsung,XE500C13-K04US,159.00,4.1,426,Chrome OS,11 h,"11.6""",,16 GB,Intel Celeron,1.6 GHz,4 GB
45,"Lenovo 100e Chromebook 11.6"" HD Display, Mediatek MT8173C, 4GB DDR3, 16GB eMMC, Chrome OS, Black",Lenovo,81QB000AUS,129.00,4.2,86,Chrome OS,10 h,"11.6""",,16 GB,MT8173c,2.1 GHz,4 GB
46,"Acer Chromebook 14, Intel Atom x5-E8000 Quad-Core Processor, 14"" HD, 4GB LPDDR3, 32GB eMMC, Protective Sleeve, CB3-431-12K1",Acer,CB3-431-12K1,179.00,4.4,192,Chrome OS,12 h,14 in,9.30 x 13.40 x 0.70 Inches,32 GB,Intel Atom x5-E8000 Quad Core Processor,2 GHz,4 GB
47,"Acer Chromebook R13 CB5-312T-K95W Convertible Laptop, MediaTek MT8173C Quad-Core Processor, 13.3"" Full HD Touchscreen, 4GB LPDDR3, 64GB eMMC",Acer,CB5-312T-K95W,329.00,4.8,60,Chrome OS,12 h,13.3 in,9.00 x 12.80 x 0.60 Inches,64 GB,MT8173,2.1 MHz,4 GB
48,"Lenovo 81JW0001US Chromebook S330, 14"" HD Display, Mediatek MT8173C CPU 4GB RAM, 32GB eMMC SSD, Chrome OS, Black",Lenovo,81JW0001US,199.00,4.1,352,Chrome OS,10.00 h,"14.00""",14.00 x 10.00 x 2.00 Inches,32 GB,MediaTek MT8173C,2.1 GHz,4 GB
49,"Acer Chromebook Spin 11 CP311-1H-C1FS Convertible Laptop, Celeron N3350, 11.6"" HD Touch, 4GB DDR4, 32GB eMMC",Acer,CP311-1H-C1FS,199.00,4.4,91,Chrome OS,10 h,11.6 in,8.10 x 11.70 x 0.80 Inches,32 GB,Intel Celeron N3350 Dual-Core Processor with Intel Burst Technology,2.4 GHz,4 GB
50,"Hp 14 Laptop, Intel Core i5-1035G1, 8 GB SDRAM, 256GB SSD+16GB Optane, 14-dq1040wm, Pale Gold",HP,14-dq1040wm,389.00,4.3,78,Windows 10,,"14""",,256 GB,"1.0 GHz base frequency, up to 3.6 GHz with Intel® Turbo Boost Technology",1 GHz,8 GB
51,"Lenovo Ideapad 330s 15.6"" Laptop, Windows 10, AMD Ryzen 5 2500U Quad-Core Processor, 8GB Memory, 256GB Storage, Platinum Grey - 81FB00HKUS",Lenovo,81FB00HKUS,359.00,4.5,3002,Windows 10,7 h,"15.6""",,256 GB,AMD Ryzen 5,2 GHz,8 GB
52,"Lenovo ideapad S145 15.6"" Laptop, Intel Celeron 4205U Dual-Core Processor, 4GB Memory, 128GB Solid State Drive, Windows 10 - Dark Orchid - 81MV00MAUS",Lenovo,81MV00MAUS,299.99,4.4,71,Windows 10,6 h,"15.6""",,128 GB,Intel Celeron,1.8 GHz,4 GB
53,"EVOO 10.1"" Ultra Thin Laptop, Quad Core Processor, 2GB Memory, 32GB Storage, Mini HDMI, Front Camera, Windows 10 Home, Black",EVOO,VIPRB-EV-C-101-1-BK,129.00,2.7,116,Windows 10,,"10.1""",10.10 x 6.00 x 4.00 Inches,32 GB,Quad Core Processor,,2 GB
54,"Acer Aspire 1, 15.6"" HD, Intel Celeron N4000, 4GB DDR4 RAM, 64GB eMMC, Windows 10 in S mode, A115-31-C23T",Acer,A115-31-C23T,199.00,4.1,354,Windows 10,6.5 h,"15.6""",9.90 x 14.30 x 0.80 Inches,64 GB,Intel Celeron,1.1 GHz,4 GB
55,"HP 15 Laptop Bundle, 15.6"", AMD A4-9125, AMD Radeon R3 Graphics, 4GB SDRAM, 500GB HDD, Wireless Mouse, Sleeve, Silver, 15-db0093wm",HP,15-db0093wm,259.00,3.9,69,Windows 10,9 h,"15.6""",,500 GB,"2.3 GHz base frequency, up to 2.6 GHz burst frequency",2.3 GHz,4 GB
56,"Lenovo ideapad S340 15.6"" Laptop, Intel Core i3-8145U Dual-Core Processor, 8GB Memory, 128GB Solid State Drive, Windows 10 - Dark Orchid - 81N800SKUS",Lenovo,81N800SKUS,319.99,4.6,711,Windows 10,8.5 h,"15.6""",,128 GB,Intel Core i3-8145U,2.1 GHz,8 GB
57,"Refurbished HP 15-BS212WM 15.6"" Laptop Intel Celeron N4000 4GB RAM 500GB HDD Jet Black",HP,RB15-BS212WM,345.88,4.3,52,Windows 10,7 Hours,"15.6""",19.00 x 12.00 x 2.70 Inches,500 GB,Intel Celeron,1.1 GHz,4 GB
58,REFURBISHED Dell Latitude E6400 C2 2.4GHz 4GB 160GB CMB Windows 10 Pro 64 Laptop,Dell,Latitude E6400,109.00,3.4,58,Windows 10,,14 Inches,,160 Gibibytes,Intel Core 2 Duo,2.4 Gigahertz,4 Gigabytes
59,"Ematic 14.1"" Laptop PC with Intel Atom Quad-Core Processor, 4GB Memory, 32GB Flash Storage and Windows 10 EWT147",Ematic,EWT147,149.00,3.2,356,Windows 10,,"14.1""",,32 GB,Intel Atom,1.44 GHz,4 GB
60,"Legion By Lenovo Y540 15.6"" Gaming Laptop, Intel Core i7-9750H, Nvidia GeForce GTX 1660Ti 6GB Graphics Card, 16GB RAM, 512GB PCIe SSD, Black, 81SX00B5US",Lenovo,81SX00B5US,1149.00,4.7,85,Windows 10,5 h,"15.6""",,512 GB,Intel Core i7-9750H,2.6 GHz,16 GB
61,"HP Chromebook 15 , 15.6"" Full HD Touchscreen, Intel Core i3-8130U, Intel® UHD Graphics 620, 4GB SDRAM, 128GB eMMC, Audio by B&O, Ceramic White/Cloud Blue, Backlit Keyboard, 15-de0517wm",HP,15-de0517wm,299.00,4.6,23,Chrome OS,13 h,"15.6""",15.00 x 10.00 x 1.00 Inches,128 GB,"2.2 GHz base frequency, up to 3.4 GHz with Intel® Turbo Boost Technology",2.2 GHz,4 GB
62,"HP Pavilion 15.6"" FHD, AMD Ryzen 7 3700U, AMD Radeon RX Vega 10, 8GB RAM, 1TB HDD + 128GB SSD, Windows 10, 15-cw1064wm, Horizon Blue",HP,15-cw1064wm,579.00,4.2,33,Windows 10,,"15.60""",,1 GB,AMD Ryzen 7 3700U,2.3 GHz,8 GB
63,"Refurbished EVOO EV-EL2in1-116-2-RG 11.6"" FHD Touchscreen N3350 1.1GHz 4GB RAM 32GB eMMC Win 10 Home Rose Gold",EVOO,VIPRB-EV-EL2in1-116-2-RG,179.00,3.5,44,Windows 10,,"11.6""",11.90 x 8.30 x 0.70 Inches,32 GB,,,4 GB
64,"HP 15.6"" Laptop, AMD Ryzen 3 2200, 1TB HDD, 4GB SDRAM, Jet Black, 15-DB0066WM",HP,15-DB0066WM,359.00,2.9,25,Windows 10,7.5 h,"15.6""",,1 TB,AMD Ryzen 3,2.5 GHz,4 GB
65,"Refurbished Acer C720-2844 11.6"" Google Chromebook Notebook Laptop 4GB RAM 16GB SSD",Acer,C720,68.96,2.6,98,Chrome OS,,11.6 in,,16 GB,,,4 GB
66,"HP 15.6"" Laptop, AMD Ryzen 3 2200U, 1TB HDD, 4GB SDRAM, DVD-Writer, Realtree Edge Camo, 15-DB0047WM",HP,15-db0047wm,499.99,2.8,16,Windows 10,7.50 h,"15.6""",,1 TB,"2.5 GHz base frequency, up to 3.4 GHz burst frequency",2.5 GHz,4 GB
67,"Lenovo Flex 14 14.0"" Convertible Laptop, Windows 10, Intel Pentium Gold 5405U Dual-Core Processor, 4GB Memory, 128GB Storage, Onyx Black - 81SQ000SUS",Lenovo,81SQ000SUS,399.00,4.6,1347,Windows 10,8 h,14 in,,128 GB,Intel Pentium Gold 5405U,2.3 GHz,4 GB
68,"Refurbished TEQNIO 14"" Ultra-Slim Laptop, Full HD, Windows 10, Intel Atom Quad Core Processor, 2GB RAM, 32GB Flash Storage, Black",TEQNIO,,99.00,1.3,7,Windows,,"14\""",,32 GB,,,2 GB
69,"Lenovo ideapad S340 15.6"" Laptop, Intel Core i5-8265U Quad-Core Processor, 8GB Memory, 128GB Solid State Drive, Windows 10 - Dark Orchid - 81N800SLUS",Lenovo,81N800SLUS,409.99,4.5,4302,Windows 10,8.5 h,"15.6""",,128 GB,Intel Core i5,1.6 GHz,8 GB
70,"MSI WS65 9TK-687 15.6"" Mobile Workstation - Core i9-9880H - 32GB RAM - 1TB SSD - Quadro RTX 3000 - Windows 10 Pro",MSI,WS65687,2948.98,0,0,Windows 10,8.00 h,15.60 in,10.20 x 15.10 x 0.70 Inches,1.00 TB,Intel Core i9,2.30 GHz,32.00 GB
71,GAEMS Guardian Pro XP,GAEMS,,699.97,0,0,,,,,,,,
72,HP Gaming Pavilion - 15-dk0046nr|i7 9th Gen |NVIDIA 1650|12 GB RAM|256 GB SSD,HP,7JL81UA#ABA,799.99,3.4,8,Windows 10 Home 64,0 h,"15.6""",,256 GB,Intel Core i7-9750H,2.6 GHz,12 GB
